Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
basic_ca,8,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 3], [[1.0, 3.0], 9], [[1.0, 1.0], 2], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 2], [[2.0, 1.0], 4], [[2.0, 3.0], 4], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]], [[[0.0, 4.0], 2]], [[[3.0, 4.0], 2]]]",4.35,0,0,0,0,10.828,0,0,11,8,0
,,,,,,,,,,,,,
no_ca,1,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 5], [[2.0, 2.0], 13], [[1.0, 2.0], 2], [[1.0, 1.0], 6], [[1.5, 0.0], 1]]]",44.83,0,0,0,0,5.236,0,0,6,5,0
pf_ca,1,"[[[[1.5, 0.0], 1.0], [[1.728, 0.445], 0.0], [[1.868, 0.925], 0.0], [[2.0, 1.0], 5.0], [[1.932, 1.495], 0.0], [[1.436, 1.553], 0.0], [[1.793, 1.903], 0.0], [[2.0, 2.0], 13.0], [[1.5, 1.988], 0.0], [[1.763, 2.413], 0.0], [[1.423, 2.047], 0.0], [[1.0, 2.0], 2.0], [[0.992, 1.5], 0.0], [[0.68, 1.891], 0.0], [[0.759, 1.397], 0.0], [[1.0, 1.0], 6.0], [[1.265, 0.576], 0.0], [[1.46, 0.116], 0.0], [[1.5, 0.0], 1]]]",44.83,0,0,0,0,7.892,0,0,9,18,0
basic_ca,1,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 5], [[2.0, 2.0], 13], [[1.0, 2.0], 2], [[1.0, 1.0], 6], [[1.5, 0.0], 1]]]",44.83,0,0,0,0,5.236,0,0,6,5,0
,,,,,,,,,,,,,
no_ca,2,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 6], [[2.0, 2.0], 3], [[1.0, 2.0], 7], [[1.0, 1.0], 7], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 5], [[1.0, 3.0], 4], [[1.0, 1.0], 5], [[0.0, 2.0], 1]]]",43.14,1,1,0,0,10.65,2,0.188,11.5,9,0.111
pf_ca,2,"[[[[1.5, 0.0], 1.0], [[1.757, 0.429], 0.0], [[1.94, 0.894], 0.0], [[2.0, 1.0], 6.0], [[1.973, 1.499], 0.0], [[1.566, 1.208], 0.0], [[1.861, 1.613], 0.0], [[2.0, 2.0], 3.0], [[1.5, 2.016], 0.0], [[1.849, 1.657], 0.0], [[2.315, 1.476], 0.0], [[1.9, 1.755], 0.0], [[1.404, 1.823], 0.0], [[1.0, 2.0], 7.0], [[1.341, 2.365], 0.0], [[1.238, 1.876], 0.0], [[1.106, 1.394], 0.0], [[1.0, 1.0], 7.0], [[1.233, 0.558], 0.0], [[1.514, 0.144], 0.0], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1.0], [[0.499, 1.975], 0.0], [[0.272, 1.529], 0.0], [[0.701, 1.786], 0.0], [[1.0, 2.0], 5.0], [[1.018, 2.5], 0.0], [[1.201, 2.965], 0.0], [[1.0, 3.0], 4.0], [[0.99, 2.5], 0.0], [[1.062, 2.005], 0.0], [[1.028, 1.506], 0.0], [[0.552, 1.353], 0.0], [[0.943, 1.042], 0.0], [[1.0, 1.0], 5.0], [[0.636, 1.342], 0.0], [[0.271, 1.001], 0.0], [[0.078, 1.462], 0.0], [[0.576, 1.413], 0.0], [[0.258, 1.799], 0.0], [[0.0, 2.0], 1]]]",43.14,3,3,0,0,17.497,3,0.171,20,39,0.077
basic_ca,2,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 6], [[2.0, 2.0], 13.0], [[1.0, 2.0], 7], [[1.0, 1.0], 7], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 5], [[1.0, 3.0], 14.0], [[1.0, 1.0], 5], [[0.0, 2.0], 1]]]",62.75,1,1,0,0,10.65,2,0.188,11.5,9,0.111
,,,,,,,,,,,,,
no_ca,3,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 7], [[2.0, 2.0], 4], [[1.0, 2.0], 3], [[1.0, 1.0], 4], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 3], [[1.0, 3.0], 6], [[1.0, 1.0], 4], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 2], [[2.0, 1.0], 3], [[3.0, 2.0], 1]]]",16.67,1,0,0,1,14.064,0.5,0.036,15,12,0.083
pf_ca,3,"[[[[1.5, 0.0], 1.0], [[1.721, 0.449], 0.0], [[1.933, 0.901], 0.0], [[2.0, 1.0], 7.0], [[1.959, 1.498], 0.0], [[1.981, 1.998], 0.0], [[2.0, 2.0], 4.0], [[1.539, 2.193], 0.0], [[1.117, 1.924], 0.0], [[1.0, 2.0], 3.0], [[1.01, 1.5], 0.0], [[0.906, 1.989], 0.0], [[1.176, 2.41], 0.0], [[0.992, 1.945], 0.0], [[1.45, 1.744], 0.0], [[1.166, 1.332], 0.0], [[1.0, 1.0], 4.0], [[1.262, 0.574], 0.0], [[1.577, 0.186], 0.0], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1.0], [[0.5, 1.999], 0.0], [[0.02, 1.858], 0.0], [[0.513, 1.944], 0.0], [[1.0, 2.0], 3.0], [[1.06, 2.496], 0.0], [[0.864, 2.956], 0.0], [[1.0, 3.0], 6.0], [[0.917, 2.507], 0.0], [[0.982, 2.011], 0.0], [[0.993, 1.511], 0.0], [[0.667, 1.132], 0.0], [[1.0, 1.0], 4.0], [[0.689, 1.391], 0.0], [[0.297, 1.702], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.5, 2.021], 0.0], [[2.188, 2.411], 0.0], [[2.0, 2.0], 2.0], [[2.078, 1.506], 0.0], [[2.079, 2.006], 0.0], [[1.966, 1.519], 0.0], [[1.989, 2.019], 0.0], [[2.031, 1.52], 0.0], [[2.008, 2.02], 0.0], [[2.022, 1.52], 0.0], [[2.033, 2.02], 0.0], [[2.006, 1.521], 0.0], [[1.993, 2.021], 0.0], [[2.074, 2.514], 0.0], [[2.114, 3.012], 0.0], [[2.095, 2.513], 0.0], [[2.408, 2.903], 0.0], [[2.322, 2.41], 0.0], [[2.642, 2.794], 0.0], [[2.468, 2.325], 0.0], [[2.944, 2.481], 0.0], [[2.695, 2.047], 0.0], [[3.172, 1.897], 0.0], [[2.782, 1.585], 0.0], [[2.352, 1.328], 0.0], [[2.0, 1.0], 3.0], [[2.324, 1.381], 0.0], [[2.729, 1.674], 0.0], [[3.0, 2.0], 1]]]",16.67,0,0,0,0,29.124,0,0,31.5,63,0
basic_ca,3,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 17.0], [[2.0, 2.0], 4], [[1.0, 2.0], 3], [[1.0, 1.0], 4], [[1.5, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 3], [[1.0, 3.0], 6], [[1.0, 1.0], 4], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 16.5], [[2.0, 1.0], 3], [[3.0, 2.0], 1]]]",84.72,1,0,0,1,14.064,0.5,0.036,15,12,0.083
,,,,,,,,,,,,,
no_ca,4,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 7], [[1.0, 3.0], 10], [[1.0, 1.0], 11], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 11], [[2.0, 1.0], 1], [[2.0, 3.0], 11], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]]]",8.51,0,0,0,0,10.828,0,0,11,8,0
