type,id,x,y,z,value
SENSE,369,1435.7763419999617,846.9732270996981,1.0,1289
SENSE,370,1435.7763419999617,912.1250137997356,1.0,148
SENSE,371,1435.7763419999617,977.2768004997731,1.0,8103
SENSE,372,1435.7763419999617,1042.4285871998106,1.0,1505
SENSE,373,1435.7763419999617,1107.5803738998482,1.0,1793
SENSE,374,1435.7763419999617,1172.7321605998857,1.0,1199
SENSE,375,1435.7763419999617,1237.8839472999232,1.0,431
SENSE,376,1435.7763419999617,1303.0357339999607,1.0,539
SENSE,377,1435.7763419999617,1368.187520699998,1.0,1013
SENSE,378,1435.7763419999617,1433.3393074000355,1.0,960
SENSE,379,1435.7763419999617,1498.491094100073,1.0,606
SENSE,380,1435.7763419999617,1563.6428808001106,1.0,118
SENSE,381,1435.7763419999617,1628.794667500148,1.0,33
SENSE,382,1490.9985089998845,781.8214403996606,1.0,437
SENSE,383,1490.9985089998845,846.9732270996981,1.0,1148
SENSE,384,1490.9985089998845,912.1250137997356,1.0,43
SENSE,385,1490.9985089998845,977.2768004997731,1.0,2199
SENSE,386,1490.9985089998845,1042.4285871998106,1.0,8601
SENSE,387,1490.9985089998845,1107.5803738998482,1.0,1167
SENSE,388,1490.9985089998845,1172.7321605998857,1.0,2493
SENSE,389,1490.9985089998845,1237.8839472999232,1.0,817
SENSE,390,1490.9985089998845,1303.0357339999607,1.0,922
SENSE,391,1490.9985089998845,1368.187520699998,1.0,1197
SENSE,392,1490.9985089998845,1433.3393074000355,1.0,1301
SENSE,393,1490.9985089998845,1498.491094100073,1.0,2479
SENSE,394,1490.9985089998845,1563.6428808001106,1.0,3313
SENSE,395,1490.9985089998845,1628.794667500148,1.0,4206
SENSE,396,1490.9985089998845,1693.9464542001856,1.0,4172
SENSE,397,1546.220675999807,781.8214403996606,1.0,545
SENSE,398,1546.220675999807,846.9732270996981,1.0,1225
SENSE,399,1546.220675999807,912.1250137997356,1.0,1236
SENSE,400,1546.220675999807,977.2768004997731,1.0,2472
SENSE,401,1546.220675999807,1042.4285871998106,1.0,11607
SENSE,402,1546.220675999807,1107.5803738998482,1.0,9089
SENSE,403,1546.220675999807,1172.7321605998857,1.0,6780
SENSE,404,1546.220675999807,1237.8839472999232,1.0,2231
SENSE,405,1546.220675999807,1303.0357339999607,1.0,2920
SENSE,406,1546.220675999807,1368.187520699998,1.0,2711
SENSE,407,1546.220675999807,1433.3393074000355,1.0,2185
SENSE,408,1546.220675999807,1498.491094100073,1.0,1123
SENSE,409,1546.220675999807,1563.6428808001106,1.0,606
SENSE,410,1546.220675999807,1628.794667500148,1.0,135
SENSE,411,1601.4428430001244,781.8214403996606,1.0,3
SENSE,412,1601.4428430001244,846.9732270996981,1.0,690
SENSE,413,1601.4428430001244,912.1250137997356,1.0,512
SENSE,414,1601.4428430001244,977.2768004997731,1.0,1106
SENSE,415,1601.4428430001244,1042.4285871998106,1.0,16702
SENSE,416,1601.4428430001244,1107.5803738998482,1.0,7354
SENSE,417,1601.4428430001244,1172.7321605998857,1.0,1879
SENSE,418,1601.4428430001244,1237.8839472999232,1.0,1216
SENSE,419,1601.4428430001244,1303.0357339999607,1.0,604
SENSE,420,1601.4428430001244,1368.187520699998,1.0,419
SENSE,421,1601.4428430001244,1433.3393074000355,1.0,109
BASE,0,-30.0,-30.0,0,0
BASE,1,1631.4428430001244,-30.0,0,0
BASE,2,-30.0,1919.4018143002982,0,0
BASE,3,1631.4428430001244,1919.4018143002982,0,0
